delivery_partner_id,partner_name,vehicle_type,employment_type,avg_rating,is_active
DP09615,Neha E,Scooter,Full-time,3.77,Y
DP02021,Neha V,Bike,Full-time,3.9,Y
DP05541,Vikas S,Cycle,Part-time,3.33,Y
DP13859,Amit B,Cycle,Part-time,4.07,N
DP08091,Arjun R,Car,Full-time,4.63,Y
DP14063,Divya M,Scooter,Full-time,3.84,Y
DP07728,Ravi O,Scooter,Full-time,4.63,Y
DP01276,Suresh O,Bike,Contract,4.34,Y
DP03078,Deepak E,Bike,Full-time,4.83,Y
DP08227,Sneha W,Scooter,Part-time,4.33,N
DP11625,Meena N,Cycle,Full-time,3.59,Y
DP03817,Sneha U,Bike,Full-time,4.12,Y
DP11899,Priya U,Bike,Part-time,4.33,Y
DP10285,Kiran U,Bike,Contract,3.92,Y
DP06552,Vikas Q,Bike,Part-time,4.64,Y
DP05758,Priya X,Bike,Contract,4.57,Y
DP12003,Manoj M,Cycle,Contract,3.76,Y
DP13191,Arjun Z,Scooter,Contract,4.41,Y
DP13337,Amit M,Scooter,Part-time,4.01,Y
DP07869,Ananya P,Bike,Part-time,3.94,Y
DP14443,Shreya R,Scooter,Contract,4.32,Y
DP13891,Shreya U,Car,Full-time,4,Y
DP13979,Nikhil D,Bike,Contract,4.07,Y
DP01521,Kiran A,Scooter,Contract,4.48,Y
DP04031,Arjun J,Bike,Part-time,4.07,Y
DP09740,Santosh R,Bike,Full-time,3.95,N
DP01258,Meena W,Scooter,Contract,4.24,Y
DP09979,Vikas M,Cycle,Full-time,4.9,Y
DP08630,Sneha B,Scooter,Contract,4.07,Y
DP09746,Vikas Z,Scooter,Contract,4.88,Y
DP09092,Ananya F,Bike,Full-time,4.04,Y
DP03077,Meena G,Bike,Full-time,4.2,Y
DP09794,Sneha C,Bike,Contract,4.22,Y
DP08695,Ananya L,Bike,Full-time,4.01,Y
DP02363,Divya S,Scooter,Contract,4.45,Y
DP02333,Ananya B,Scooter,Part-time,4.69,Y
DP02395,Shreya H,Cycle,Full-time,3.95,Y
DP11158,Meena I,Cycle,Full-time,4.01,Y
DP02663,Divya J,Cycle,Part-time,4.08,Y
DP04968,Pooja Z,Bike,Full-time,5,Y
DP01370,Kiran E,Cycle,Part-time,3.63,Y
DP11740,Deepak G,Scooter,Full-time,3.5,Y
DP02710,Amit M,Car,Part-time,4.38,Y
DP08694,Ravi P,Scooter,Full-time,4.12,Y
DP07695,Divya V,Scooter,Full-time,4.27,Y
DP12739,Vikas K,Bike,Contract,4.13,Y
DP12185,Rahul B,Bike,Full-time,4.25,N
DP05973,Meena L,Bike,Part-time,4.47,Y
DP10806,Pooja M,Bike,Full-time,4.52,Y
DP04226,Neha Z,Bike,Part-time,4.69,Y
DP07785,Sneha S,Scooter,Full-time,4.06,Y
DP09098,Sneha E,Cycle,Contract,4.22,Y
DP10704,Nikhil N,Scooter,Contract,3.17,Y
DP14836,Rahul G,Cycle,Contract,4.46,Y
DP06599,Sneha Q,Bike,Full-time,4.04,Y
DP09559,Suresh U,Scooter,Contract,4.2,Y
DP08783,Rakesh R,Bike,Contract,4.24,N
DP04638,Shreya A,Scooter,Full-time,4.36,Y
DP13301,Rakesh H,Scooter,Full-time,4.27,Y
DP09301,Sneha H,Bike,Part-time,4.12,Y
DP12066,Divya D,Bike,Part-time,3.68,N
DP03478,Santosh O,Bike,Contract,4.73,Y
DP09056,Kiran J,Bike,Part-time,3.99,Y
DP01330,Divya B,Bike,Full-time,3.76,N
DP09316,Kiran O,Bike,Full-time,3.77,Y
DP05808,Kiran D,Bike,Full-time,4.56,N
DP00239,Amit O,Bike,Part-time,3.85,Y
DP07942,Nikhil Q,Bike,Part-time,4.62,Y
DP08710,Arjun W,Scooter,Full-time,4.14,Y
DP10749,Meena K,Bike,Part-time,4.55,Y
DP06199,Nikhil X,Scooter,Part-time,4.06,Y
DP08431,Arjun B,Bike,Full-time,4.39,N
DP12551,Pooja S,Scooter,Part-time,4.17,Y
DP09730,Nikhil W,Scooter,Part-time,4.29,Y
DP12883,Rakesh H,Bike,Full-time,4.07,N
DP12304,Vikas T,Cycle,Part-time,4.49,Y
DP08383,Priya Q,Bike,Full-time,4.15,N
DP06741,Meena K,Bike,Full-time,3.97,Y
DP08105,Deepak S,Bike,Full-time,4.62,Y
DP11517,Deepak I,Scooter,Full-time,3.97,Y
DP08216,Suresh H,Cycle,Full-time,4.2,Y
DP09801,Ananya Y,Bike,Part-time,4.02,Y
DP14440,Meena N,Car,Full-time,4.39,Y
DP13391,Ananya J,Scooter,Full-time,4.47,Y
DP01217,Ravi N,Bike,Full-time,4.53,Y
DP12919,Priya R,Bike,Contract,3.79,Y
DP00437,Shreya T,Car,Contract,4.28,Y
DP05019,Divya P,Scooter,Full-time,3.8,Y
DP12561,Vikas C,Bike,Full-time,4.04,Y
DP06832,Arjun D,Car,Full-time,4.02,Y
DP00398,Manoj R,Scooter,Full-time,4.19,Y
